sub,state,city,age,sdacown,sdacee,sdacnotnec,sdacwant,sdacss,sdacnotworth,sdacqol,sdacnotbad,sdacee2x,siwastee,sidivest,sirenslow,sirenair,siglobal,siccdrastic,sisoc,sicccit,siccgov,siccrich,siccus,sicclux,sieeworth,siwestcut,siev,sisolar,sisolarenv,sifoodwaste,simeat,sidevair,siairpol,sinewbldg,sirenter,sirichstd,sisuccess,sicomfort,sisaving,siwaste,dacown,dacee,dacee2x,dacnotnec,dacss,dacnotworth,dacqol,dacnotbad,pacee2x,pacnotnec,pacss,pacnotworth,pacqol,pacnotbad,bacvsother,bpayeeac,bpubtrans,attention,gender,gender_text,race,race_text,edu,edu_text,employ,marital,income,income_text,home,monthlyexp,residence,politics,party,class,n4wheel,n2wheel,time
R_sSZGGxschLKSwXn,33,Ithaca ,35,6,4,2,7,3,2,6,3,5,5,4,3,5,2,5,4,4,4,3,5,3,3,3,3,6,2,3,2,3,5,6,2,6,5,3,5,3,4,5,5,4,4,4,4,5,5,3,4,2,5,3,3,3,2,5,1,,7,,8,,private,2,11,,1,6000,1,4,2,2,1,2,3062
R_bPi7aZ6CmCYKPPX,45,Rockwall,58,7,6,1,7,1,1,7,7,3,3,2,2,3,2,2,3,2,2,1,3,2,3,2,2,4,1,2,1,1,2,3,5,5,5,3,6,4,4,4,4,4,2,1,7,1,2,2,2,4,4,3,7,0,7,5,1,,7,,1,,private,2,13,175000,1,300,2,2,2,3,4,0,466
R_3JeYwzAsITkvbOE,33,New york ,35,6,6,2,7,5,2,5,4,3,5,2,2,4,2,2,3,3,4,3,5,3,3,3,4,3,2,3,2,3,2,5,5,3,3,2,4,3,5,5,5,4,3,3,3,4,5,3,5,3,5,4,3,2,3,5,1,,7,,6,,private,2,12,,1,3000,1,4,2,3,1,1,1139
R_1DIjQPN4NenuZJM,45,Humble,70,6,3,2,7,6,2,7,3,2,5,6,6,3,2,4,4,6,6,2,3,4,4,2,3,2,6,6,2,2,3,4,6,6,2,6,6,2,6,4,4,3,4,2,5,3,5,1,2,2,6,2,3,3,1,5,1,,7,,4,,retire,6,9,,1,4500,2,5,1,3,2,0,1077
R_1F3vSZKaMWwr0zQ,33,ny,35,6,6,3,7,2,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,4,3,4,5,1,,7,,8,,other,2,11,,1,4000,1,4,2,3,1,0,3912
R_2Vr0IJkWmFK9JFK,33,New York,35,6,7,2,7,5,2,6,4,7,5,3,4,5,2,5,5,3,6,3,6,3,2,7,6,7,3,2,2,6,6,4,2,6,2,5,5,2,6,6,5,1,6,2,6,5,7,5,3,4,6,2,2,3,3,5,1,,7,,10,,private,2,13,"190,000",1,1500,1,4,1,2,2,1,1257
R_1rOfoBnM79W6fmM,33,Mahopac,56,3,3,2,6,4,2,6,6,1,3,2,2,4,2,5,5,5,7,1,5,2,4,5,3,2,5,5,3,4,4,5,7,5,5,5,6,7,4,4,4,4,4,4,4,4,2,7,1,4,3,4,4,1,1,5,1,,7,,6,,private,2,11,,1,250,2,2,2,3,4,1,504
R_2AZ08lhGL3s5hR0,33,New York,33,4,5,3,5,4,2,6,5,5,6,4,4,5,3,4,4,5,5,5,5,3,3,4,4,5,2,3,3,5,4,5,4,4,5,3,4,4,5,4,5,3,5,3,5,5,5,3,5,3,5,5,5,3,5,5,1,,7,,8,,private,2,13,,1,5000,1,1,2,2,2,0,1064
R_1dpqPfmIJ8OiQ2U,45,Austin,48,7,4,2,7,7,2,6,4,2,4,3,1,4,3,3,4,4,4,4,4,4,3,3,4,2,3,4,4,2,6,6,3,6,4,2,2,7,4,5,5,5,5,5,2,3,4,5,6,3,5,3,3,2,6,5,1,,7,,8,,self,1,7,,2,200,1,4,1,2,1,1,726
R_26h7NlWQomp26kf,33,FLUSHING,36,6,4,2,5,1,4,5,4,5,3,4,5,3,4,5,6,2,4,2,4,2,5,2,6,4,3,1,3,2,5,3,4,4,4,5,3,5,4,4,3,2,4,1,6,3,5,1,1,2,6,4,5,1,7,5,1,,1,,2,,private,1,4,,2,1550,1,7,1,4,0,0,2343
R_6m65UbqX2AK28RH,45,san antonio,33,6,6,2,6,5,2,6,6,4,5,2,2,6,2,5,5,2,6,5,5,3,3,2,5,5,2,2,2,2,3,5,2,6,2,5,2,2,6,6,6,2,4,2,6,6,5,2,3,2,6,6,6,5,5,5,1,,7,,8,,private,2,11,,1,3000,1,4,1,2,1,1,1261
R_rkYCi0iBg1phS93,45,Leonard,82,5,3,2,6,4,2,6,4,5,2,5,4,3,2,4,5,4,4,2,4,5,3,2,2,2,5,4,2,2,2,6,6,5,3,6,5,4,5,5,5,2,4,2,5,4,2,3,4,1,5,5,4,1,1,5,1,,7,,3,,retire,5,8,,1,600,3,3,3,2,1,0,839
R_3JsWWHWwiBgokys,45,Texas,40,6,2,2,3,6,7,7,6,3,5,6,6,6,6,6,6,6,5,5,6,5,5,5,6,5,6,6,5,6,6,6,6,5,5,6,6,6,5,3,6,3,7,5,3,3,6,4,3,4,6,5,5,2,5,5,1,,7,,6,,private,2,7,,1,50000,1,2,2,3,2,1,445
R_2PegPnWLgUGw0mh,33,Rochester,73,5,5,2,6,2,2,6,5,4,6,5,3,6,3,2,7,5,4,5,3,6,3,2,5,2,4,3,2,3,4,5,5,5,2,6,6,7,6,5,5,2,4,4,6,5,3,2,5,2,6,6,5,3,1,5,1,,7,,4,,retire,2,11,,2,950,2,2,2,3,1,1,1319
R_2DOD4CK9oZYCEXz,33,Levittown,79,4,4,2,7,1,2,6,6,1,5,6,6,1,6,1,4,7,3,1,1,1,2,1,2,1,7,5,2,1,2,1,1,3,2,6,4,1,4,4,4,4,4,4,4,4,1,4,1,1,5,6,1,1,1,5,1,,7,,6,,retire,2,9,,1,250,2,1,2,3,0,0,718
R_1CptWukNhxGmYbO,45,Fort Worth,48,7,6,2,7,5,1,7,4,3,3,2,6,3,4,2,5,4,4,2,2,2,2,3,2,2,6,6,3,6,2,5,5,2,4,4,4,2,4,4,4,4,4,4,4,4,2,1,1,1,7,3,7,1,1,5,1,,7,,6,,private,1,6,,1,1500,2,6,3,4,1,0,852
R_2ttfWDvlIDwD1Mv,45,Houston,34,7,3,1,7,1,1,7,6,5,4,5,4,4,5,3,6,5,4,5,3,5,5,5,6,5,5,6,5,4,5,3,6,2,4,3,5,5,7,6,6,4,3,1,4,3,6,6,6,6,6,5,3,4,6,5,2,,2,,6,,private,1,8,,1,300,2,4,3,3,1,1,969
R_3P7YfTqTlCOvjGv,33,Cobleskill,43,5,3,4,5,1,2,7,6,1,1,5,6,2,3,1,6,2,1,1,1,3,6,1,3,2,7,7,1,1,3,4,6,6,7,7,5,2,4,4,4,4,4,4,4,4,1,5,1,1,6,7,6,0,1,5,1,,7,,6,,private,1,10,,1,500,3,1,2,3,1,0,671
R_e4jVWQFdxi80np7,45,Tomball ,30,7,7,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,3,3,3,3,7,5,7,1,7,7,7,5,6,5,2,,4,,2,,other,2,1,,3,1000,3,1,3,3,1,1,527
R_xtMFaKsoPcPrElz,33,New Yoek,84,6,3,1,7,1,2,7,3,3,2,3,4,3,3,3,6,4,4,1,4,3,3,4,3,3,4,6,2,1,3,3,3,6,6,6,6,6,5,4,4,1,4,3,5,3,2,2,2,1,6,2,6,1,1,5,1,,7,,6,,retire,3,11,,1,1800,1,1,2,3,2,0,1383
R_1CwjjGmYlGdFrHn,33,Buffalo,33,4,3,2,5,2,3,5,5,3,5,2,3,5,3,4,3,4,5,2,5,5,5,2,5,5,3,3,4,3,5,5,2,5,5,2,4,3,5,5,5,4,5,4,5,5,5,3,5,4,6,4,6,1,5,5,1,,4,,4,,private,1,6,,2,600,1,4,3,4,0,0,1828
R_6DMCcmzl9eT9fNL,33,NYC,30,2,3,1,4,3,3,5,5,3,3,4,2,5,2,3,6,4,3,6,3,5,4,2,2,3,3,4,2,3,2,4,5,5,1,7,4,6,6,5,4,1,6,3,6,3,3,2,3,3,7,6,7,1,3,5,1,,7,,8,,private,2,11,,1,8000,1,4,1,3,0,0,1298
R_10B0uFutSNPWLby,33,Altamont,43,6,6,2,7,2,2,5,6,4,6,2,2,6,2,6,4,2,6,2,6,1,3,6,5,5,4,4,3,4,6,4,3,5,5,3,5,6,4,4,4,2,4,4,4,4,5,2,3,2,5,6,5,1,1,5,1,,7,,2,,private,1,9,,1,1500,2,3,3,3,1,0,913
R_21joq8AcTMPX00a,45,WAXAHACHIE,65,5,4,4,5,2,2,5,3,3,3,4,4,4,3,4,5,3,4,2,3,2,3,2,3,2,3,3,2,2,3,3,4,4,3,5,4,4,5,6,5,2,2,2,5,4,5,3,2,2,6,5,4,2,4,5,1,,7,,2,,retire,5,7,,1,975,3,2,2,3,2,0,1348
R_2qmXCNXsAj56cc0,45,El Paso,63,6,6,1,7,1,1,7,7,4,3,7,4,3,4,4,4,4,3,3,4,3,3,3,3,4,4,3,2,1,4,7,6,5,3,4,6,4,7,6,5,4,7,1,7,7,5,2,2,1,7,7,1,2,4,5,1,,1,,6,,private,2,12,,1,1800,2,3,2,3,0,3,1619
R_3pbBZMc8iqkP4IE,33,Buffalo,46,3,2,3,4,3,2,3,2,3,5,2,2,3,2,3,5,2,3,1,2,2,1,3,5,5,3,2,2,2,2,6,4,6,3,3,3,6,3,5,5,5,3,5,3,3,6,5,4,3,4,5,5,3,3,5,1,,7,,5,,gov,1,8,,1,400,1,5,1,3,2,0,1315
R_1DoG1OPLiLjOipc,45,Stephenville,58,6,4,2,6,2,2,2,6,6,2,6,6,6,6,6,6,2,4,2,6,2,2,6,1,3,6,3,2,1,6,6,6,6,6,6,6,6,6,6,6,2,2,5,7,6,5,1,2,3,7,6,6,1,2,5,1,,7,,4,,retire,2,11,,2,2000,2,2,2,3,0,0,1462
R_1LtJd7XVaZbagcy,33,Bronx,78,6,2,2,7,2,2,7,6,2,5,6,5,5,5,4,6,5,5,3,6,5,6,2,3,2,5,6,2,2,2,4,6,6,2,5,6,2,5,5,3,4,6,4,5,3,1,1,6,3,3,4,7,0,4,5,1,,7,,4,,retire,1,8,,1,2500,2,2,2,3,0,0,1283
R_3eshPWfJFWleLTw,33,new york,35,6,6,2,6,5,2,6,4,4,2,2,4,5,4,4,6,6,6,4,6,4,2,2,5,4,4,4,2,4,4,3,5,4,5,4,3,3,5,4,4,6,4,5,5,5,3,3,3,3,5,5,3,2,3,5,1,,7,,8,,self,2,10,,1,1000,1,4,1,3,1,1,1052
R_XCdy1CJkmiRoLVn,45,Big Spring,63,5,4,4,4,3,4,4,3,4,5,4,6,6,6,6,5,4,3,5,6,5,4,6,2,6,2,4,4,5,2,6,2,5,4,3,7,6,4,6,6,3,2,4,5,2,2,4,3,1,2,1,2,3,7,5,1,,7,,5,,retire,2,6,,1,200,3,5,3,3,0,2,666
R_3kB3YOyeZrxCTfu,33,Brooklyn,35,5,4,2,3,2,2,4,2,2,3,6,2,4,6,2,2,4,2,2,2,6,6,2,3,6,2,3,2,6,2,2,2,4,6,6,2,3,1,3,6,5,3,3,3,2,6,7,6,7,7,7,7,3,7,5,1,,7,,8,,other,2,12,,1,1000,1,1,2,1,4,2,916
R_1F3ejZII9D3eTBw,45,Katy ,32,6,6,1,6,1,2,7,6,4,2,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,6,7,4,4,4,4,4,4,4,4,7,7,7,7,1,7,7,7,7,7,0,1,5,2,,7,,4,,private,1,5,,2,100,2,5,1,4,2,0,725
R_10TKLiXoinVG8aO,33,New York ,31,4,4,2,6,5,3,6,6,3,4,5,4,6,6,5,4,4,6,3,4,5,5,3,4,6,5,4,5,5,5,4,2,6,3,4,5,5,3,4,5,5,3,4,6,5,6,1,6,4,6,7,6,4,2,5,1,,7,,11,,self,2,7,,1,1600,1,4,2,2,1,0,6083
R_50gQL1ZFir7sYyl,33,ROCHESTR,73,5,3,2,5,4,2,5,5,3,3,2,2,2,2,2,5,5,2,5,2,4,2,2,2,2,2,3,2,1,3,2,3,4,3,6,2,2,7,6,5,2,6,2,6,6,5,2,6,2,6,6,5,2,2,5,1,,7,,5,,private,2,10,,1,2900,2,2,2,3,0,0,2475
R_W8tSBrcCjmY8EdH,33,Brox,37,3,7,4,4,3,2,4,5,6,3,2,3,2,1,4,4,5,6,3,4,5,2,5,5,4,5,3,2,5,2,5,5,6,3,3,4,6,5,5,4,3,3,3,5,6,3,4,3,3,6,5,5,3,3,5,1,,3,,6,,private,2,10,,1,2000,1,2,1,3,2,3,1344
R_3GCjR57oVaabLIQ,45,winnsboro tx,78,3,3,2,6,6,2,6,6,3,5,3,3,4,5,5,3,2,3,3,3,2,3,4,3,3,2,5,4,3,3,4,5,5,3,5,4,3,6,5,5,2,7,2,6,5,2,3,5,3,7,7,5,0,3,5,1,,7,,8,,retire,3,8,,1,3000,3,2,3,4,1,0,1236
R_Z1MVuRwJopxFbBD,33,Ballston Lake,75,5,4,2,7,6,5,6,5,2,3,7,7,2,2,2,7,5,1,4,2,4,7,1,1,2,6,5,1,1,2,2,1,4,4,6,3,5,6,1,1,2,3,7,6,6,2,3,3,3,6,3,5,0,3,5,1,,"2,7",,6,,retire,2,9,,2,1300,2,2,1,3,1,0,1569
R_3MysI4CdHrty7dM,33,newburgh,37,3,3,3,5,3,3,5,5,2,5,6,6,2,5,2,6,4,2,2,2,5,5,2,3,2,5,6,2,2,2,4,6,3,3,6,5,4,6,2,3,1,3,3,6,6,2,3,4,4,4,3,3,0,2,5,1,,7,,2,,private,1,6,,2,600,2,2,2,4,1,0,770
R_2R4lKYkfHCsDzCg,33,buchanan,57,4,3,2,5,4,2,4,2,3,6,6,3,4,3,4,5,5,6,6,6,6,6,4,4,4,3,3,2,3,3,4,4,4,4,2,3,2,6,5,6,4,4,5,5,5,5,3,5,3,3,2,6,1,5,5,1,,7,,2,,handi,1,3,,2,1000,2,1,2,3,2,0,664
R_3lWVatuHkiPTmDZ,45,Corinth,35,7,2,1,7,7,1,7,7,3,2,3,4,4,5,3,5,4,4,5,5,3,3,2,2,2,5,6,2,3,2,3,6,6,2,5,6,2,7,5,5,1,4,4,4,4,3,2,2,2,6,3,6,2,1,5,1,,7,,8,,gov,2,11,,1,1000,2,5,3,3,1,0,851
R_3e3s25ohM4HOMUC,33,SPRINGFIELD GARDENS,42,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,1,3,2,2,2,5,3,2,2,2,2,6,1,1,2,3,3,6,6,6,6,6,5,5,6,6,4,6,5,1,,7,,8,,self,2,13,,1,2000,1,1,1,2,1,0,1891
R_1FbRiN41Y6uPgLu,45,frisco,69,5,5,2,7,6,2,6,3,3,2,4,3,4,3,3,5,3,4,2,3,3,3,3,3,2,5,5,2,2,3,3,7,3,3,4,5,2,6,5,5,2,4,3,6,4,5,2,3,2,6,3,6,1,4,5,1,,7,,6,,unemploy,3,8,,1,3500,2,4,3,3,2,0,22797
R_Xh0Qo1qJCRxu2Zz,33,Cheektowaga,44,3,3,2,5,3,4,3,3,2,3,3,7,3,3,2,7,3,3,3,4,3,3,4,3,2,3,4,2,4,3,3,3,3,3,3,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,5,1,,7,,8,,private,2,11,,1,5000,2,4,1,3,2,0,1915
R_2QoKjAcYqtLWQlb,33,new york,30,7,7,7,7,6,3,7,4,6,5,5,7,4,3,7,4,5,3,7,7,6,5,6,6,4,5,6,7,5,4,6,6,6,5,7,5,5,7,6,7,7,7,4,7,3,7,7,7,5,7,7,7,5,7,5,1,,7,,11,,private,2,11,,1,1500,1,1,1,1,2,1,1527
R_2Yh6HT01cDRZuYz,33,rensselaer,59,6,6,3,7,4,3,6,6,4,5,4,2,5,3,4,4,3,3,4,4,4,3,3,3,2,6,2,2,2,2,5,2,6,2,4,6,5,7,5,4,2,4,2,7,4,4,2,5,2,7,5,7,2,1,5,2,,7,,6,,private,1,8,,1,300,1,7,1,4,0,0,836
R_1ptcnCjTpdKk5fS,45,Frisco,60,5,3,2,5,3,3,6,3,3,5,5,3,5,3,4,6,2,6,2,3,1,3,3,2,2,3,1,3,2,2,3,5,3,6,4,4,6,6,5,5,3,2,3,5,3,4,4,4,4,4,4,3,1,2,5,1,,7,,6,,private,2,12,,2,1400,2,2,2,3,0,0,1149
R_3hfI5gYNJ5VUSNO,33,ROCHESTER,49,6,1,1,6,6,2,7,2,1,3,3,4,4,2,5,5,4,4,2,4,5,5,4,3,4,5,3,5,4,4,4,3,3,4,5,2,1,4,3,4,4,4,5,3,4,4,4,4,4,4,4,4,3,4,5,1,,7,,5,,private,1,8,,1,2200,2,2,2,3,2,1,788
R_r15IellmduAhxjr,45,League City,58,7,5,1,7,1,1,6,6,1,1,6,2,5,1,2,7,2,6,2,6,2,2,2,3,2,2,5,5,1,2,4,7,7,2,6,2,2,6,4,4,2,4,4,6,4,4,2,2,2,6,4,4,4,2,5,1,,7,,4,,handi,5,3,,3,1000,2,2,2,3,0,0,1448
R_2Bxn48fVtoq4B1g,33,NY,30,6,2,1,7,7,3,6,2,3,3,2,2,4,2,2,2,2,2,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,3,1,7,4,4,5,3,0,3,5,1,,2,,8,,private,1,9,,2,500,1,4,1,3,0,0,817
R_cTsiCNOt4ELJoFr,45,Dallas,25,7,5,1,6,3,1,7,6,7,7,7,3,7,6,7,2,1,7,2,7,1,1,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,5,7,5,7,7,7,7,7,3,2,2,5,6,6,6,2,6,5,1,,"4,7",,6,,self,3,2,,2,10000,1,2,1,3,1,4,448
R_2tui9UIq7aVrfDb,45,Windcrest,74,6,5,2,6,1,2,6,6,5,3,6,3,4,4,3,6,2,5,1,4,4,3,2,2,3,5,7,2,2,1,5,7,4,2,5,4,4,7,5,6,2,4,1,6,3,6,1,3,2,7,5,6,2,1,5,1,,"1,7",,7,,retire,2,10,,1,450,2,2,2,2,2,0,2265
R_Bueru3XYUzq9uRH,45,SAN ANTONIO,40,6,5,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,6,6,5,2,6,5,1,,7,,8,,private,2,12,,1,2500,1,5,2,2,2,4,1833
R_2y8yxFQl7km6vap,45,watauga,56,6,6,2,6,2,2,6,5,4,2,3,3,6,2,6,5,2,6,2,6,2,2,3,2,3,6,6,3,3,5,6,2,2,6,3,5,2,4,5,4,3,2,4,5,5,6,1,3,1,6,5,6,5,2,5,1,,7,,3,,self,2,6,,1,800,2,5,3,4,2,0,1959
R_3oSnvsB73mPZHDj,33,Stone Ridge,69,6,5,4,6,2,2,4,6,2,4,4,3,3,2,3,5,4,4,2,3,4,3,2,4,3,6,6,2,2,3,5,4,2,6,3,4,2,6,5,4,3,4,3,5,4,2,5,1,2,5,5,2,1,1,5,1,,"1,7",,10,,retire,2,11,,1,2500,3,4,3,2,0,2,752
R_1KjMEw248a9GuZu,45,Spring,50,6,5,1,7,7,2,6,2,5,1,5,2,7,1,5,5,1,5,1,6,5,5,7,6,5,2,3,1,1,2,6,6,4,6,5,5,1,6,6,5,2,6,3,6,2,4,2,6,3,5,2,5,1,1,5,1,,7,,8,,gov,2,11,,1,1500,2,3,2,3,0,0,1158
R_3PdUiMwGZ9JBUGl,33,buffalo,50,5,5,5,6,5,5,3,6,5,3,5,5,5,5,5,4,6,6,6,6,5,6,7,5,4,6,5,6,3,6,5,6,3,4,5,5,3,6,6,2,5,3,5,6,4,3,2,7,6,6,7,6,2,6,5,1,,7,,8,,private,2,10,,1,1000,2,1,1,3,3,0,575
R_vf2rUMjBzYsSIwN,45,Harlingen,35,5,2,2,4,3,3,4,4,3,2,5,4,5,5,3,2,3,3,4,3,2,2,3,3,2,4,2,2,2,3,3,3,3,3,3,3,5,5,5,5,5,4,3,6,3,7,2,1,2,6,2,6,2,1,5,2,,4,,4,,unemploy,2,5,,2,500,3,4,3,4,0,0,1291
R_1ISKZl9cw1Y25U7,45,Universal City,44,6,6,1,6,6,2,6,5,6,6,5,4,5,3,5,4,4,3,3,5,3,3,4,4,6,4,2,3,4,4,6,3,3,4,4,3,5,4,6,5,1,2,2,5,3,7,1,5,4,7,5,5,2,2,5,1,,2,,4,,private,2,10,,1,1400,1,4,3,3,0,3,1473
R_1pYCBP2GRkw6UN6,33,New York,32,3,2,3,5,2,6,2,6,2,5,6,2,2,6,2,7,3,4,2,4,2,2,3,3,4,5,3,4,4,3,5,4,5,4,2,5,4,6,5,4,5,6,5,4,5,4,4,2,4,6,6,3,3,3,5,1,,7,,8,,private,2,10,,1,2000,2,6,1,3,1,0,420
R_2qw1ZgzmjFSIPc0,45,dallas,25,5,6,5,2,7,6,4,4,3,4,5,2,3,4,2,6,4,5,2,6,4,5,5,6,4,1,3,3,5,5,4,4,7,6,2,5,4,2,3,3,5,3,6,6,5,1,4,3,4,3,4,1,3,3,5,2,,3,,11,,self,2,11,,1,23456,2,4,1,1,1,0,492
R_2CZEkjQwajd9Gqr,45,Houston,37,5,5,3,6,6,3,4,6,5,3,3,3,5,3,5,3,3,5,2,5,3,3,5,5,3,3,5,3,5,5,5,5,6,2,5,5,3,5,6,5,3,6,2,6,2,7,2,6,2,6,2,7,2,1,5,1,,7,,6,,private,1,6,,1,3000,1,5,1,4,1,0,660
R_3iJQIKH776z9o9b,33,rockville centre,71,6,5,2,7,2,2,6,6,2,2,4,2,3,4,2,4,3,4,3,3,3,5,3,3,2,2,5,1,2,3,3,2,4,2,4,4,3,5,5,3,4,5,4,4,4,5,3,2,3,5,5,4,1,1,5,1,,7,,4,,retire,2,10,,1,6000,2,2,3,3,1,0,929
R_2pWPG70AW5XTnrH,45,San Antonio,78,6,5,2,6,2,2,6,6,3,6,5,5,3,5,6,5,3,2,2,6,2,3,5,2,4,4,3,2,3,3,5,6,3,5,5,5,6,5,5,3,3,3,3,5,5,3,3,3,3,6,5,3,2,1,5,1,,7,,4,,retire,3,10,,1,350,1,2,2,3,1,0,1471
R_10SMu71WWbd4omH,45,mckinney,37,4,5,4,5,5,3,3,4,2,6,3,4,5,3,6,3,2,3,6,5,5,2,5,5,5,2,2,2,3,5,5,3,5,4,2,2,6,6,5,3,6,2,2,6,3,5,7,3,2,5,6,5,3,2,5,1,,7,,6,,private,2,12,,1,560,1,4,2,2,1,2,2287
R_9vrGY0rfFb01wQ1,33,new york,36,6,5,1,7,7,2,7,5,5,6,3,1,6,1,5,5,5,5,6,5,2,4,4,5,3,4,2,1,1,3,3,4,6,4,6,2,6,6,5,4,1,6,2,6,7,6,2,7,3,7,4,4,2,2,5,1,,7,,8,,private,2,12,,1,7000,2,4,1,3,1,0,1542
R_1ISsvt0waUdQcPP,45,Abilene,43,6,2,2,6,1,1,4,6,2,5,3,4,3,3,2,4,5,2,1,2,2,5,2,5,2,5,4,3,2,4,2,6,6,1,6,3,2,4,2,2,1,1,1,4,4,5,1,1,1,5,4,7,2,1,5,2,,4,,6,,gov,6,10,,1,1500,2,4,3,4,2,0,1412
R_1NC7OXkkkLq8Oeb,33,college point,72,6,5,2,6,2,2,4,4,2,1,3,2,4,2,3,4,2,4,1,1,3,2,2,4,1,2,4,1,2,2,5,3,4,2,4,2,4,6,5,3,2,2,3,6,4,5,1,2,2,6,5,5,1,1,5,1,,7,,5,,retire,2,10,,1,1200,2,3,3,3,1,0,888
R_3F3UYQfIfXZJYNF,45,dallas,35,7,6,1,6,5,1,6,5,5,5,2,2,6,2,6,4,4,6,4,6,2,2,4,6,6,3,3,2,4,5,5,2,2,3,3,4,4,7,6,6,1,4,2,4,2,5,1,4,2,5,4,4,3,5,5,1,,7,,6,,private,2,10,,1,3000,1,4,1,3,2,1,981
R_1P6Jn78jjpPsFYY,33,Monroe,27,4,5,3,4,2,3,3,6,5,2,3,3,4,4,4,5,3,5,5,4,3,4,4,4,5,4,4,4,4,5,4,5,4,4,4,3,4,4,5,5,3,4,4,4,4,5,5,5,5,3,3,1,2,1,5,1,,"2,4",,6,,private,1,7,,1,200,2,7,1,4,1,0,617
R_erjBYbPvpdCRcqt,33,ROCHESTER,28,3,2,1,7,1,6,3,6,2,6,5,6,6,7,5,1,6,7,1,6,6,5,6,6,1,6,1,3,2,6,7,7,7,1,7,6,2,7,2,4,1,7,1,7,4,1,1,4,1,7,7,1,4,1,5,1,,3,,6,,other,1,11,,1,80000,1,3,1,3,1,0,3267
R_3neMOJCqCC6OTtZ,33,Phelps,33,5,1,2,6,2,5,4,7,1,4,6,6,4,6,2,6,7,2,4,3,7,7,2,1,1,7,6,1,5,2,4,2,6,2,5,6,2,5,4,4,3,1,5,4,5,1,4,3,6,4,4,1,0,3,5,1,,7,,4,,private,1,6,,2,1800,3,4,3,4,1,0,2365
R_bqNBtT56lE1qQpj,33,New York City,86,6,5,2,6,2,2,6,6,3,2,3,4,4,3,4,5,2,5,2,3,2,3,4,5,4,5,2,2,2,2,6,5,5,2,4,4,5,4,4,4,4,4,4,4,4,5,2,2,2,6,5,1,1,1,5,1,,"4,7",,4,,retire,2,8,,1,2800,1,2,2,3,1,0,1620
R_31sLdueTQ5EJCAc,45,Fairfield,47,5,5,2,7,4,4,5,4,6,5,4,4,4,4,4,6,5,4,4,4,3,4,6,4,5,4,3,3,6,5,6,5,5,5,5,4,6,4,5,3,3,5,2,5,1,3,1,2,6,5,5,5,3,1,5,1,,7,,6,,private,2,11,,1,1300,3,4,1,3,4,0,2184
R_3m510BmqG1KcV0Z,33,New York,35,7,6,2,7,4,2,6,6,5,7,5,4,4,2,7,4,4,6,4,5,2,4,4,5,6,2,3,3,4,4,5,2,4,5,3,3,2,6,6,6,4,6,4,6,6,6,1,4,1,6,6,5,3,1,5,1,,7,,8,,private,2,13,,1,2500,1,4,3,3,1,0,804
R_1JLcebgtLVBTsWf,33,new york,30,6,5,6,4,2,2,6,4,2,5,5,6,3,3,3,6,2,2,2,5,4,3,2,2,5,7,2,2,3,6,1,3,2,6,5,2,3,5,2,2,6,2,6,5,6,7,6,6,7,7,7,6,2,6,5,1,,7,,11,,private,2,11,,1,3000,1,4,1,2,2,1,1073
R_2qEsyssD3saDPNL,33,New York,65,3,3,4,7,3,5,3,3,3,3,4,4,5,2,2,5,3,3,3,5,2,4,2,4,5,3,2,3,5,5,5,6,6,2,6,2,5,6,5,5,6,3,5,4,2,6,2,3,2,6,4,4,1,2,5,2,,3,,2,,retire,2,9,,1,3000,1,3,1,4,2,0,1974
R_1Hcrns1wDevZsVe,33,New York,53,5,4,3,6,6,3,6,6,5,4,5,3,5,3,5,4,3,5,3,5,3,4,3,5,2,6,6,2,4,3,3,4,6,2,5,6,2,5,6,5,3,4,4,6,3,6,3,5,2,5,3,5,4,7,5,1,,7,,6,,private,1,12,,2,3500,1,3,3,3,0,0,2989
R_2WTkPXeHFXtAuCk,45,CARROLLTON,56,7,6,2,7,1,1,6,6,2,2,4,4,5,5,2,2,2,4,3,4,2,4,2,5,2,6,4,2,3,6,5,6,6,2,3,5,4,7,4,4,2,4,4,4,4,3,1,7,1,7,5,5,3,1,5,1,,3,,5,,retire,2,12,,1,750,2,4,3,3,2,0,5250
