time,sub,lang,state,city,sdacown,sdacee,sdacee2x,sdacnotnec,sdacwant,sdacss,sdacnotworth,sdacqol,sdacnotbad,siwastee,sidivest,sirenslow,sirenair,siglobal,siccdrastic,sisoc,sicccit,siccgov,siccrich,siccind,sicclux,sieeworth,siwestcut,siev,sisolar,sisolarenv,sifoodwaste,simeat,sidevair,siairpol,sinewbldg,sirenter,siweststd,sirichstd,sisuccess,sicomfort,sisaving,siwaste,dacown,dacee,dacee2x,dacnotnec,dacss,dacnotworth,dacqol,dacnotbad,pacee2x,pacnotnec,pacss,pacnotworth,pacqol,pacnotbad,bacvsother,bpayeeac,bpubtrans,age,gender,edu,employ,marital,caste,income,incometext,home,monthlyexp,n4wheel,n2wheel
667,R_2cuXl8e8eXbsatK,HI,14,Mumbai ,4,2,3,3,3,3,3,3,3,7,3,4,7,5,4,3,5,5,3,3,3,3,4,3,5,4,3,3,4,3,3,4,3,3,3,3,3,3,1,4,4,3,4,3,4,4,5,6,5,4,5,5,2,3,7,45,1,7,private,2,obc,4,,1,10000,0,0
2318,R_z81Wj5dP3R8CKQN,EN,14,Mumbai,4,4,7,2,7,6,4,6,2,3,7,3,6,2,5,5,3,7,6,7,2,4,6,7,3,1,1,2,2,1,4,4,7,7,2,1,7,4,6,2,3,1,6,2,7,6,6,5,2,6,2,3,2,3,6,22,2,7,student,1,general,2,,1,8000,0,1
1063,R_3m4UaoibFoJF07E,EN,32,Delhi,5,6,4,3,7,5,2,5,3,6,4,5,4,5,5,5,3,5,5,5,4,6,4,4,5,5,4,4,5,6,6,4,4,4,5,5,4,6,7,3,6,4,2,5,5,7,3,5,5,5,5,3,3,2,3,39,2,8,self,2,general,7,,1,30000,2,2
1131,R_2qEsnbfm5b9KFzK,EN,14,mumbai,7,4,3,1,7,7,2,7,6,5,4,2,4,2,6,3,2,6,2,6,2,3,4,4,6,4,2,6,4,6,5,4,6,6,2,4,2,6,7,5,5,1,7,1,7,7,7,3,2,2,6,3,1,2,6,33,2,7,self,2,general,7,,1,50000,2,0
720,R_3nwLP6q5B1HJfiC,EN,14,Mumbai,4,2,5,6,3,6,4,2,2,6,4,5,2,4,4,4,3,5,5,3,4,3,5,4,5,3,5,5,5,5,5,4,3,4,4,4,5,7,3,5,5,5,5,5,3,2,5,4,5,4,5,5,4,2,5,38,2,7,gov,2,obc,3,,1,25000,1,2
584,R_W8SzqYnd1wR5kC5,EN,14,Mumbai,3,2,2,1,3,2,4,3,3,2,3,4,6,4,4,2,4,5,2,5,4,3,3,7,2,3,4,5,2,6,5,2,4,2,3,5,2,2,3,3,4,4,5,5,5,4,4,5,4,3,4,5,5,2,6,24,2,7,gov,2,obc,6,,1,2000,1,2
35913,R_3iDx2LFXJ7T6llk,EN,32,Delhi,4,3,2,6,7,6,3,2,6,6,7,7,4,1,2,3,2,4,1,4,7,2,1,7,3,1,2,4,6,3,4,4,4,7,6,4,1,7,4,6,5,5,6,7,3,2,5,6,4,2,4,4,2,1,5,24,2,6,student,1,general,3,,1,2000,0,0
564,R_1jODTNCZDTR47fD,EN,14,pune,3,4,3,3,4,3,3,3,3,5,4,4,5,5,5,5,6,4,5,5,5,4,6,5,3,5,5,3,4,4,4,6,5,5,4,6,4,5,5,5,4,4,5,5,5,5,7,4,2,5,5,4,5,2,5,37,2,8,self,2,general,6,,1,20000,1,2
1783,R_1DSC6h9pDVKI7d7,EN,14,Nagpur,2,2,2,4,5,6,5,5,3,5,4,2,2,4,2,6,6,6,6,5,5,6,5,2,2,5,3,2,2,6,2,5,7,7,2,6,3,3,5,5,3,3,7,3,7,3,6,5,7,6,6,1,1,2,4,28,1,7,self,1,general,5,,1,18000,0,2
1493,R_1DMBqq49GrxcHyI,EN,32,Tilak Nagar,5,6,3,5,6,3,3,4,5,4,4,6,3,2,3,5,3,5,3,4,6,3,2,3,4,4,6,2,2,3,3,5,4,4,1,4,4,7,5,5,5,3,3,2,5,6,4,3,5,2,5,6,3,1,3,34,1,8,private,2,general,5,,1,7000,1,2
1024,R_3siCjsEdSpcSvOu,EN,32,new delhi,6,5,4,5,5,3,6,6,6,5,5,4,4,5,4,6,5,6,5,5,5,5,5,4,5,5,5,4,5,5,6,5,6,6,5,5,5,5,5,5,6,5,6,6,5,6,7,7,7,6,7,6,4,3,6,30,2,7,self,2,general,7,1500000,1,120000,2,2
1030,R_25NqfPGVgqxJzGf,EN,32,New delhi,4,5,7,5,4,5,5,6,3,3,5,4,5,5,5,5,4,4,5,6,5,3,4,3,4,4,5,5,4,6,6,4,5,5,5,6,4,4,5,4,5,4,6,5,6,5,6,4,4,6,5,3,6,2,6,25,1,8,self,2,general,5,,1,20000,1,1
691,R_1mP0xjSftPkIfAo,EN,32,Delhi,6,6,6,2,6,7,1,7,6,7,6,6,6,6,6,5,2,6,2,6,2,2,6,6,6,4,4,4,3,5,6,2,7,7,4,6,6,6,6,6,6,2,6,2,7,6,6,2,7,2,6,6,6,1,2,35,1,9,private,2,general,7,,1,60000,2,2
620,R_psCSLFz5AIGwvdL,EN,32,South delhi,4,4,6,4,4,3,3,4,2,4,5,1,3,4,4,4,3,3,5,3,4,3,4,3,4,4,4,4,3,3,4,4,3,4,4,4,4,4,2,1,5,4,3,3,5,4,6,7,5,5,4,5,1,0,7,25,1,9,student,1,general,6,,1,15000,0,0
1175,R_3Oe6UfGdaq3S1gM,EN,14,Mumbai thane,5,4,2,2,7,6,2,6,3,7,2,3,2,2,2,6,2,6,6,7,2,3,7,2,2,5,2,5,2,6,6,1,7,7,7,4,4,6,6,5,2,2,6,2,5,2,3,2,6,2,6,5,3,1,3,28,2,8,private,1,general,6,,1,14000,1,1
660,R_2S00Mubm8iv6Zax,EN,32,CHANDNI CHOWK,4,4,5,2,2,4,2,3,5,5,6,4,3,3,4,3,3,5,6,2,2,3,6,5,5,4,5,4,3,3,3,4,4,5,3,5,2,5,6,6,1,5,3,3,6,3,7,5,6,5,5,6,6,3,6,30,1,8,self,1,obc,6,,1,25000,1,2
1157,R_10GgkFeoLLtSAid,EN,32,Delhi,3,6,6,5,5,6,5,2,2,2,4,3,6,1,2,3,3,6,3,6,2,4,5,6,3,4,5,1,1,6,5,4,6,7,2,3,1,5,5,5,5,1,7,5,5,2,6,2,6,3,7,2,1,2,7,39,2,7,private,2,obc,6,,1,30000,1,0
1126,R_3MAkHCbx9jxAWON,EN,32,Delhi,3,3,2,3,6,6,6,6,2,6,5,2,2,1,6,5,1,6,1,3,5,4,6,4,3,4,1,2,5,6,6,6,4,6,2,6,2,1,7,3,6,2,6,5,5,2,4,5,6,4,5,5,2,2,6,30,2,8,self,2,obc,6,,1,30000,1,0
1229,R_3HLjfUVdH84GOj4,EN,32,Patparganj,7,5,5,1,7,7,1,7,2,2,2,2,6,3,2,6,6,6,4,3,5,5,6,2,2,7,4,1,1,2,2,6,7,7,1,6,3,2,7,5,7,1,7,1,7,3,6,1,7,2,7,2,6,2,5,21,1,7,student,1,general,6,,1,35000,1,0
1026,R_3eaaNjjDzXjiwa9,EN,14,Mumbai,5,5,5,2,7,7,3,7,3,6,4,5,3,4,5,6,6,5,5,5,2,5,6,5,5,4,6,4,5,5,7,4,6,5,7,6,5,5,5,5,5,1,7,2,6,6,7,3,2,1,5,3,1,1,1,45,1,8,self,2,general,6,,1,40000,1,1
674,R_A6d09yDZYplh7tD,EN,32,New Delhi,4,2,2,4,6,5,5,3,4,2,3,2,4,5,3,4,4,3,4,2,5,6,5,2,2,6,3,3,2,4,2,5,6,4,3,4,3,2,7,5,5,2,6,2,6,3,5,5,3,5,5,2,3,1,6,21,2,4,student,1,general,3,,1,20000,0,1
535,R_2CTHxDdEyMyd50N,EN,32,New Delhi,5,4,5,1,2,7,2,2,1,4,2,5,4,4,4,4,4,4,4,3,3,3,5,3,4,3,3,4,4,3,3,3,3,4,2,4,3,4,5,2,5,4,6,5,3,4,5,5,5,5,5,5,4,1,7,25,2,7,private,2,general,1,,2,30000,1,0
1385,R_3GwROtVi5LrPEPZ,HI,14,Mumbai,2,3,3,4,5,2,4,2,1,6,6,1,6,1,3,5,1,7,2,6,1,2,1,7,6,2,2,3,2,7,3,1,2,2,6,7,2,7,5,5,5,4,4,3,5,7,7,2,1,5,2,1,1,2,6,25,1,8,private,1,obc,2,,2,10000,1,1
614,R_1ffmPstsmLhiZN7,EN,14,Mumbai,7,7,6,7,6,7,1,6,1,7,7,7,7,1,7,7,6,6,7,7,6,6,6,7,7,1,1,6,7,6,7,7,6,6,1,6,1,1,6,6,7,1,6,1,6,1,6,2,7,2,7,1,7,4,5,39,2,8,self,2,general,3,,1,25000,1,3
1401,R_1GVvb6NoyFBnyyA,EN,32,Delhi,4,6,5,3,6,7,5,5,6,6,5,7,5,6,6,6,6,6,6,6,7,6,6,2,6,7,6,6,5,6,5,6,6,5,7,6,5,7,5,6,5,5,7,7,7,2,5,3,6,5,7,6,7,3,6,29,1,8,private,2,general,6,,1,8000,2,2
677,R_1mRhfPIadYPkkPo,EN,32,New Delhi ,7,6,6,6,7,6,5,6,6,6,6,6,6,6,5,6,6,5,5,6,5,6,5,5,5,5,5,5,5,5,6,5,6,5,5,5,6,5,6,6,6,5,6,7,6,6,5,5,3,5,5,5,5,3,5,20,2,5,private,1,general,5,,2,10000,0,1
591,R_vMLncBc2v2mvqxz,EN,32,New Delhi,4,2,2,2,6,4,3,4,2,7,5,3,5,2,3,2,4,3,3,4,4,2,6,3,3,2,2,2,2,5,2,3,2,5,3,3,4,6,3,5,4,4,3,4,2,3,6,2,5,5,6,4,1,2,3,21,1,7,student,1,sc,1,,1,14000,1,1
1667,R_3MSTlquXDhsn0uO,EN,14,Mumbai ,3,5,4,4,4,3,4,4,5,4,5,5,4,3,3,5,4,5,3,5,4,4,4,4,3,4,2,5,3,4,5,4,5,6,4,4,4,5,5,5,5,3,3,3,6,5,6,3,3,3,5,3,3,2,5,25,2,8,private,1,obc,5,,1,7000,2,2
1137,R_21ENWv4o8QXIbgt,EN,14,Mumbai ,6,4,3,2,6,5,2,7,7,6,4,3,5,1,3,2,2,7,5,7,1,2,3,2,3,5,5,3,2,5,5,3,6,7,1,6,2,7,7,6,5,1,6,2,7,5,6,2,6,4,7,4,5,3,6,30,2,7,private,2,general,6,,1,14300,0,1
677,R_2aJLlb0C23fs2bf,EN,14,Mumbai,5,6,4,4,5,7,3,7,3,5,4,3,3,3,4,5,3,4,4,4,2,5,4,4,3,4,6,4,5,3,4,3,3,4,3,6,3,4,3,3,7,1,1,3,4,2,7,5,6,5,7,5,4,1,4,22,2,7,unemploy,1,general,1,,2,30000,0,0
839,R_1Hi3oxL2UehiEJu,EN,32,New Delhi,7,7,7,7,6,1,7,7,6,6,6,1,7,4,6,1,7,6,1,7,7,6,7,1,1,1,7,7,2,6,7,7,6,6,7,5,6,6,7,2,1,1,2,7,5,7,7,7,7,1,6,5,7,3,7,35,1,9,self,2,obc,4,,1,4,2,1
516,R_3j6ALs9YUGK7oBq,EN,14,Pune,3,1,1,3,2,3,6,4,2,4,2,3,5,3,2,5,3,5,3,3,3,5,6,3,4,4,2,1,2,3,5,4,4,5,3,2,2,3,6,3,4,5,2,4,4,2,3,6,3,3,6,4,3,1,3,27,1,9,private,2,general,5,,1,20000,1,2
782,R_Dfc0V9VZ7Vy6s3T,HI,14,Sangli,2,3,2,2,6,4,1,6,2,7,5,4,1,3,5,3,3,7,5,7,7,6,1,4,4,5,7,5,6,1,5,3,2,3,5,4,3,6,6,5,3,5,4,5,5,7,3,7,6,6,6,5,6,3,5,31,1,8,self,2,obc,4,,1,30000,3,2
714,R_1LdrVd8HD7QlJgq,EN,32,delhi,5,5,6,5,5,4,4,6,6,5,4,4,5,5,5,4,4,5,5,5,4,4,6,5,6,6,5,5,6,4,4,4,5,5,4,5,5,4,4,5,5,5,5,5,4,3,6,5,5,5,6,5,5,2,5,25,2,7,housewife,2,noans,4,,1,23000,0,0
1434,R_2D0UmoTqgQkiycM,EN,14,Mumbai ,7,6,6,2,7,2,2,7,6,3,5,2,3,1,3,3,1,7,1,1,1,5,1,1,5,3,1,2,5,6,7,2,2,1,7,1,4,7,7,3,3,7,3,2,7,5,4,4,2,5,2,4,3,0,5,21,2,5,self,1,obc,5,,1,25000,0,1
567,R_1Loi6a6WZDSnFaz,EN,32,New Delhi,4,5,3,5,4,2,6,4,4,1,5,5,3,5,4,2,2,4,2,2,3,2,5,5,3,2,5,2,5,2,6,2,2,3,2,6,3,2,7,4,6,2,5,2,7,2,6,3,7,4,6,3,4,2,3,26,1,8,student,1,general,6,,1,7500,2,1
769,R_bq4es3BqiSqZkDT,EN,32,New Delhi,5,4,4,3,6,6,3,6,3,3,6,4,6,3,5,3,6,4,6,5,5,6,4,6,6,6,2,5,5,5,6,5,7,7,5,5,4,4,7,2,3,5,2,2,6,2,7,6,3,2,2,1,1,0,7,37,1,7,self,2,general,6,,2,8000,0,1
1731,R_27j3sE71ZabEX2c,HI,32,Delhi,2,3,4,2,3,6,4,4,5,2,4,4,4,5,4,4,2,3,4,4,5,7,3,2,7,4,4,6,4,4,4,2,3,4,7,5,4,4,1,6,7,3,7,5,5,3,5,5,1,3,1,3,2,3,3,28,1,8,self,1,noans,7,,1,40000,1,3
1467,R_2uCKuU3e5y5WOWg,EN,32,Delhi,7,7,6,6,7,7,6,6,6,6,5,5,6,1,4,3,1,7,1,2,3,2,2,3,6,4,1,2,6,5,5,2,5,5,2,5,2,1,5,6,6,2,6,2,6,2,4,3,6,6,6,1,2,3,5,30,2,8,self,2,obc,6,,1,30000,1,0
753,R_9yvYeJ9CF9O3ekV,EN,32,Delhi ,3,3,5,3,5,4,6,5,5,5,4,5,4,4,5,3,4,5,3,3,5,6,3,6,3,4,3,3,5,4,5,5,5,5,5,4,3,3,2,3,5,7,5,3,6,3,3,3,3,4,3,3,4,2,3,46,2,8,self,2,general,7,,1,10000,1,0
778,R_x9g8TrQAVXaoOc1,EN,32,Delhi,4,3,2,3,5,3,2,3,5,2,3,2,4,4,2,5,3,3,4,2,5,3,1,4,3,5,2,3,2,2,2,5,6,5,3,2,5,2,5,5,6,3,5,6,5,4,5,2,3,1,5,5,5,2,1,32,2,8,private,4,general,7,,1,40000,2,1
1379,R_33exILHis1Y6fZ3,EN,14,Mumbai,3,6,5,2,3,5,3,2,2,4,6,2,6,2,4,4,2,7,2,6,3,2,6,7,6,3,5,4,6,5,6,2,6,6,6,6,1,2,6,6,3,2,7,5,5,6,7,5,3,4,5,1,2,4,3,32,1,7,private,2,noans,7,,1,35000,1,1
972,R_Q4lHnozc9ORH9T3,EN,14,Mumbai ,6,6,6,4,6,5,5,5,6,5,6,7,5,6,5,6,7,4,5,5,5,4,4,6,6,5,6,4,5,6,5,5,6,5,6,5,5,7,5,4,6,5,7,5,5,4,7,6,7,3,5,4,5,2,7,36,2,8,private,2,obc,6,,1,15000,1,2
4648,R_26mBcf67uacsRap,EN,14,Mumbai,5,4,4,2,6,3,3,2,2,4,4,4,3,2,3,4,3,3,3,4,2,3,2,3,3,3,2,4,4,2,4,4,6,6,2,4,4,2,5,5,4,3,2,2,2,4,6,4,3,4,4,2,2,3,4,18,2,4,student,1,general,5,,1,9000,0,1
959,R_1HkLHJcfGm4Eeed,EN,14,navi mumbai,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,4,4,4,4,4,4,4,4,4,6,4,4,5,4,1,4,46,1,8,self,2,noans,3,,1,15000,0,1
598,R_UiKo1yiA8rwt1bb,EN,32,Delhi,4,5,3,4,5,6,4,5,6,2,3,3,3,5,3,6,6,6,3,4,6,4,5,6,3,3,6,4,4,3,3,3,4,2,4,5,3,5,5,2,5,2,3,2,5,4,5,6,4,6,7,6,5,2,4,21,2,9,student,1,general,7,,1,50000,1,1
1434,R_3pbF6xdrejWvKay,HI,14,Navapur ,3,3,3,2,6,6,4,4,5,3,3,3,3,5,3,6,6,3,5,3,5,4,5,2,3,3,6,4,3,2,3,2,6,6,3,4,4,3,5,5,5,3,5,3,5,3,7,7,1,3,1,1,1,0,7,23,2,8,unemploy,1,general,5,,1,25000,0,1
1416,R_pxAoEpXMtKMOQnv,EN,14,Pune,3,2,2,6,7,7,5,2,2,2,3,2,2,1,3,6,6,4,4,5,4,2,1,4,7,1,6,2,3,5,6,2,6,6,2,5,2,5,5,4,4,1,4,2,2,7,7,5,6,1,5,2,2,2,4,19,1,4,student,1,general,6,,1,8000,0,2
2907,R_3hlwtLuQ8cBzBGK,EN,32,New Delhi,4,3,3,3,5,3,4,3,4,5,2,3,4,3,3,4,3,5,2,4,3,4,3,4,4,2,3,4,4,4,2,4,5,3,4,4,4,5,7,5,5,4,6,5,5,3,5,5,3,4,4,1,2,2,4,22,2,7,student,1,general,6,,2,37000,0,1
2359,R_2qwvleaVV6RAJ0l,EN,14,Pune,5,3,4,2,6,2,2,6,2,2,2,5,2,2,6,4,2,6,2,6,5,4,6,2,2,2,2,2,2,4,2,3,6,7,2,6,2,7,7,7,7,2,5,2,6,2,7,6,7,4,7,1,1,2,4,31,2,7,private,2,general,6,,1,20000,1,1
1596,R_24zJftiPicHMuXs,EN,32,New Delhi,5,5,2,2,7,3,2,7,2,3,4,1,4,1,3,4,2,4,1,2,2,3,1,2,3,3,4,2,2,2,4,2,7,6,2,3,3,3,5,6,4,3,2,3,6,1,3,4,3,4,6,2,2,2,4,23,1,7,student,1,obc,7,,1,15000,1,2
811,R_pREZaRUAK0P2m65,EN,14,Mumbai,5,4,5,2,6,5,3,5,3,5,6,5,5,3,4,4,3,5,4,6,7,3,4,5,5,3,2,6,2,5,5,2,5,5,3,5,4,3,5,5,5,3,5,3,5,3,6,3,5,3,6,3,3,2,6,36,1,8,private,2,obc,6,,1,22000,1,1
618,R_3HLJffw1vvwawyR,EN,32,new delhi,5,6,6,6,6,6,6,5,6,6,5,6,6,5,6,6,6,6,5,5,5,6,6,5,6,5,6,6,6,6,6,6,6,6,6,5,6,6,7,6,6,6,6,6,7,7,7,7,7,7,7,6,7,3,7,39,2,8,private,2,obc,6,,1,50000,2,2
975,R_3lPRGgIE7Hn6nUq,EN,32,New Delhi ,5,6,7,4,4,6,7,6,7,7,5,7,6,4,7,7,7,6,7,7,5,4,6,6,7,6,7,5,7,6,5,6,7,6,7,6,5,7,7,6,5,7,5,6,6,5,7,7,6,6,7,6,7,3,6,39,2,8,self,2,obc,6,,1,54000,1,1
89591,R_PGuJjac6JPxhcAx,EN,14,Mumbai,5,6,5,2,6,7,2,6,3,5,4,2,6,2,5,4,3,5,2,6,4,3,6,6,6,1,4,5,2,5,5,4,3,7,4,4,1,6,7,6,6,1,7,1,7,6,6,1,6,2,7,6,6,2,2,44,2,7,private,2,general,7,3500000,1,20000,1,1
2543,R_23UbRNnHwqFezat,EN,14,Mumbai,4,3,3,4,7,4,2,4,6,2,2,3,5,4,3,6,6,5,4,4,3,3,6,2,4,3,2,2,2,4,3,2,7,7,2,6,4,2,6,5,5,2,2,2,6,2,6,4,2,1,6,4,2,2,4,44,2,7,self,5,general,6,,1,30000,1,0
548,R_2DOZbvicKhrjk9s,EN,14,Mumbai,7,7,7,6,6,6,7,6,7,6,7,6,7,7,6,7,6,6,7,6,6,7,7,6,6,7,6,7,6,7,7,6,7,7,7,7,6,4,6,7,7,7,6,7,7,6,7,7,7,6,6,7,7,3,6,39,2,8,self,2,general,3,,1,90000,1,1
1191,R_2s6gCCBWoZYIcRX,EN,32,delhi,7,3,2,2,7,7,2,5,2,4,6,4,4,4,4,5,2,5,2,5,3,5,2,5,4,4,3,7,2,2,2,4,7,7,4,5,5,4,7,4,3,4,7,4,7,4,3,3,5,3,7,3,5,1,7,33,1,7,self,2,general,6,,1,10000,1,2
857,R_25yjyOZdzV1KvU4,EN,14,Thane,1,1,5,1,1,7,4,1,1,5,7,4,5,7,4,4,4,5,5,5,2,4,4,7,5,4,7,6,7,4,7,6,2,3,7,4,4,7,1,2,4,6,6,5,4,4,4,7,5,7,1,7,1,0,6,21,2,7,student,1,sc,3,,1,0,0,0
1681,R_1ewRAQfPKwIakTW,EN,14,Panvel ,7,5,6,4,7,7,7,6,5,5,6,6,6,6,7,4,6,6,6,5,5,6,6,6,5,6,6,6,6,7,6,4,6,5,6,6,6,6,6,4,2,1,3,2,5,1,5,6,5,7,5,1,5,1,5,23,1,7,self,1,obc,1,,1,4000,1,1
1910,R_21jqDjkaxf5chju,EN,14,mumbai,2,2,2,2,6,6,4,5,2,6,5,2,4,2,4,4,4,6,2,5,1,2,4,4,3,5,1,3,3,6,3,3,5,5,5,3,5,5,7,3,3,4,2,1,5,4,6,3,3,2,6,2,5,2,5,43,1,7,private,2,general,6,,1,30000,1,0
511,R_1dz70pAKK1FsnzY,EN,32,New Delhi,7,6,7,7,5,5,6,7,6,5,5,5,7,6,5,7,5,7,6,7,6,6,6,6,7,6,7,7,6,7,7,4,6,7,6,6,5,5,3,6,2,7,1,5,2,7,6,7,6,7,7,6,7,5,7,39,2,8,self,2,obc,3,,1,70000,3,2
3887,R_2aV8L4Tj5Dhr2gX,EN,32,Delhi,4,2,2,5,6,4,6,6,2,5,4,3,4,2,5,5,2,5,3,3,5,4,6,4,4,4,2,6,4,6,5,4,5,6,2,2,2,2,7,5,4,3,3,3,6,3,4,5,5,4,5,2,5,1,3,20,2,7,self,1,general,6,,1,20000,1,1
910,R_Qn8JpR9PtcIJ8Qx,EN,14,Pune,7,5,5,5,6,7,7,5,5,7,6,2,4,5,5,7,2,6,6,7,5,5,6,3,5,4,5,3,5,5,6,5,5,7,6,6,6,5,5,6,6,3,5,6,5,3,6,4,6,4,6,2,3,3,3,32,2,8,private,2,general,6,,1,10000,1,2
1185,R_2xFfC8LE0XS3si3,EN,32,Delhi,5,3,7,1,4,2,2,7,2,7,1,2,5,1,2,4,2,7,1,7,1,2,5,7,4,2,1,5,2,5,6,4,2,3,5,7,1,7,7,5,5,3,1,3,4,1,6,1,2,1,4,6,4,4,1,23,1,8,self,1,general,5,,1,25000,2,1
616,R_1PSJ2KZYRV6KwSb,EN,32,Delhi,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,6,7,6,6,7,7,7,7,7,7,6,7,7,7,7,7,6,7,7,7,7,7,6,7,7,7,7,7,1,1,2,1,1,1,2,5,1,40,1,8,private,2,general,6,,1,30000,1,1
920,R_2ymir4XpGbLJPzn,EN,32,New Delhi,4,4,6,3,6,7,2,4,2,6,3,2,5,3,3,6,5,3,4,3,5,3,5,6,3,4,2,3,2,6,7,2,4,5,4,3,2,5,6,5,4,3,7,2,7,4,2,7,3,2,1,1,1,3,7,39,2,7,housewife,2,general,7,,1,50000,2,1
1203,R_1N30DFGF0MKweE4,EN,32,South Delhi,4,2,2,3,6,6,2,5,3,3,5,3,4,5,3,5,5,5,4,3,2,5,5,4,5,4,4,3,5,3,3,6,7,7,3,6,5,2,7,1,1,2,7,3,6,6,3,5,5,4,4,4,3,1,7,20,2,6,private,1,general,2,,2,10000,0,1
1418,R_1HqaZLHZRbp0i8b,EN,32,Delhi ,7,7,7,6,7,6,7,7,7,7,6,7,7,6,7,6,6,7,6,7,7,7,6,7,6,7,7,7,6,6,7,7,6,6,7,7,7,6,6,7,6,7,7,7,7,7,6,5,7,6,7,6,6,2,7,35,1,8,self,2,general,6,,1,5000,0,1
1402,R_1K3DKkSWWR85xoi,EN,32,Delhi,3,4,5,5,3,5,3,5,5,5,5,2,5,1,2,5,2,7,2,7,1,3,6,5,4,5,5,4,5,3,6,4,2,6,2,3,2,7,5,5,5,2,7,2,7,2,7,1,7,1,7,7,4,3,1,35,1,8,private,2,general,6,,1,14000,1,1
1388,R_3R2xZVUdzvSzMkZ,EN,32,New Delhi,5,4,5,3,7,3,2,5,6,3,2,3,3,3,2,5,5,5,4,4,3,4,5,4,2,3,3,2,2,3,4,6,6,6,2,6,5,3,6,5,5,3,6,2,6,6,7,3,6,1,7,6,3,4,3,30,2,8,private,2,general,7,2200000,1,15000,2,1
521,R_3dRDS780JqqbsUZ,EN,32,Delhi,6,3,3,4,2,4,4,2,3,3,2,1,3,2,3,4,4,4,3,1,4,2,5,4,2,6,2,5,1,4,4,6,1,2,2,4,6,2,7,7,1,3,6,3,3,5,5,4,5,5,7,5,5,3,6,37,2,8,private,2,general,6,,1,40000,2,2
1377,R_2aSQL7lUEifsUA9,EN,32,Delhi,4,5,4,3,7,5,3,5,3,4,4,3,2,2,3,6,2,6,4,2,4,3,2,6,2,4,3,2,2,6,4,3,7,5,5,4,3,5,5,5,5,3,5,4,5,3,7,4,5,3,4,2,2,3,7,27,1,8,self,2,general,5,,1,15000,0,1
2739,R_2uVOTvKTXJ8WsWJ,EN,14,Mumbai,6,2,1,2,2,4,2,3,1,2,5,3,4,1,4,4,5,5,2,2,2,4,4,6,4,5,3,4,3,3,3,3,5,5,2,3,1,3,2,1,4,2,2,3,5,3,2,6,5,6,4,1,2,0,6,21,1,6,student,1,other,1,,1,10000,1,1
3330,R_24JhewqD6SKkcO4,EN,14,Jalgaon,4,4,4,6,6,6,4,6,3,6,6,3,5,2,6,4,2,6,4,3,2,4,6,5,6,4,1,2,5,3,7,4,5,5,3,3,2,2,5,4,6,3,3,5,5,2,5,3,5,3,5,2,1,1,3,26,1,9,private,1,general,2,,1,8000,1,1
624,R_1dFSVVHzzRCWzqH,EN,14,Mumbai,5,5,1,2,4,3,4,6,6,2,2,1,4,4,3,2,4,2,3,4,1,2,4,2,3,4,4,3,1,1,5,3,3,7,3,5,4,5,5,5,2,4,3,4,5,5,5,4,4,5,6,5,2,0,6,29,1,7,private,1,general,2,,3,3000,0,1
1111,R_1DBkJvTnCdCjHm3,EN,14,Mumbai,3,2,7,4,7,6,3,7,5,6,7,4,7,1,6,6,1,4,1,7,4,4,7,6,4,4,1,4,7,5,7,5,4,6,6,7,6,1,7,7,5,5,5,6,6,7,7,5,4,7,7,6,1,2,4,20,2,7,self,1,general,3,,1,25000,0,1
1532,R_YbEyP9JyJNJWqwF,EN,14,Mumbai,3,6,6,3,6,6,3,6,5,4,5,2,6,2,6,2,2,6,2,6,3,3,2,5,5,4,3,3,2,3,6,4,5,6,1,4,5,5,6,7,7,2,6,3,6,6,7,3,7,3,6,7,4,2,3,35,1,7,self,2,general,7,,1,45000,1,1
1212,R_23VN7lux0ViyZTX,EN,32,Delhi,4,2,2,2,5,3,3,4,5,7,6,4,4,2,4,6,2,2,3,5,1,5,2,3,4,4,2,3,1,3,6,2,6,6,3,5,2,1,6,5,2,2,2,2,5,6,5,3,3,3,6,6,2,1,5,30,1,8,gov,1,obc,6,,1,20000,1,1
781,R_UWjFA3zGRSDGUox,EN,32,Delhi,5,5,5,4,6,6,3,5,4,5,5,4,5,4,5,6,2,7,5,5,5,4,5,5,4,4,3,4,4,5,4,4,6,6,5,4,4,4,6,5,5,3,6,3,6,3,6,3,5,3,5,1,3,2,7,25,2,8,private,1,general,6,,1,15000,1,1
1151,R_2fvx4ASMrdnD2bN,EN,32,New delhi,7,7,6,6,6,6,7,7,6,6,7,7,7,7,7,6,7,7,7,6,7,7,7,6,7,6,7,7,7,7,7,6,7,6,7,6,7,6,6,6,6,6,3,6,4,7,7,6,6,7,6,7,3,2,6,38,2,8,self,2,general,5,,1,20000,1,1
1068,R_2414YbjYCX2JDAf,EN,14,Mumbai,6,6,6,2,6,6,3,6,4,6,4,6,6,5,6,5,5,6,5,6,5,6,6,5,6,6,6,5,6,5,6,5,6,5,5,5,5,5,5,5,3,3,5,5,6,4,6,2,6,2,6,2,5,3,5,38,1,8,private,2,obc,3,,1,250001,1,1
